交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,20.6,21.18,20.48,21.07,29205807,612375677.0,2.23,0.46,0.47,,,18.2777,2.095,0.8092,4.4682,180314368096.8,595885915.0,51052935.0,0.82,0.0,,,,1773331200000
2026-03-16,21.0,21.49,20.95,21.15,18855183,399248820.0,0.38,0.08,0.3,,,18.3471,2.102,0.8123,4.4851,180998997876.0,577172466.0,51052935.0,0.82,0.0,,,,1773590400000
2026-03-17,21.16,21.45,21.14,21.14,19881908,423144682.0,-0.05,-0.01,0.32,,,18.3384,2.101,0.8119,4.483,180913419153.6,575786905.0,51052935.0,0.82,0.0,,,,1773676800000
2026-03-18,21.15,21.18,20.95,21.07,14419080,303395490.0,-0.33,-0.07,0.23,,,18.2777,2.095,0.8092,4.4682,180314368096.8,575109847.0,51052935.0,0.82,0.0,,,,1773763200000
2026-03-19,20.91,21.18,20.81,20.94,19911989,418017376.0,-0.62,-0.13,0.32,,,18.1649,2.082,0.8042,4.4406,179201844705.6,581297176.0,51052935.0,0.82,0.0,,,,1773849600000
2026-03-20,21.01,21.45,20.73,21.29,30321752,644145474.0,1.67,0.35,0.49,,,18.4685,2.116,0.8177,4.5148,182197099989.6,581603533.0,51052935.0,0.82,0.0,,,,1773936000000
2026-03-23,21.14,21.5,20.72,20.83,25836451,543606894.0,-2.16,-0.46,0.42,,,18.0695,2.071,0.8,4.4173,178260478759.2,579328120.0,51052935.0,0.82,0.0,,,,1774195200000
2026-03-24,20.95,21.03,20.42,20.72,19109660,394009844.0,-0.53,-0.11,0.31,,,17.9741,2.06,0.7958,4.3939,177319112812.8,574416737.0,51052935.0,0.82,0.0,,,,1774281600000
2026-03-25,20.7,20.95,20.55,20.9,12899621,268710597.0,0.87,0.18,0.21,,,18.1302,2.078,0.8027,4.4321,178859529816.0,579237269.0,51052935.0,0.82,0.0,,,,1774368000000
2026-03-26,20.87,21.09,20.7,20.73,10546924,220299439.0,-0.81,-0.17,0.17,,,17.9827,2.061,0.7962,4.3961,177404691535.2,577018691.0,51052935.0,0.82,0.0,,,,1774454400000
2026-03-27,20.63,20.9,20.58,20.88,10633628,221111542.0,0.72,0.15,0.17,,,18.1129,2.033,0.8019,4.4279,178688372893.2,569379133.0,51052935.0,0.82,0.0,,,,1774540800000
2026-03-30,20.75,20.83,20.28,20.31,15610114,318762457.0,-2.73,-0.57,0.25,,,17.6184,1.985,0.78,4.307,173810385702.15,576431818.0,51052935.0,0.82,0.0,,,,1774800000000
2026-03-31,20.3,20.92,20.25,20.63,14964926,309506333.0,1.58,0.32,0.24,,,17.896,2.016,0.7923,4.3749,176548904826.95,578504329.0,51052935.0,0.82,0.0,,,,1774886400000
2026-04-01,20.78,20.83,20.4,20.64,11659510,239755841.0,0.05,0.01,0.19,,,17.9047,2.017,0.7927,4.377,176634483549.6,578768080.0,51052935.0,0.82,0.0,,,,1774972800000
2026-04-02,20.7,21.04,20.66,20.87,16708703,348466667.0,1.11,0.23,0.27,,,18.1042,2.04,0.8015,4.4257,178602794170.55,578847274.0,51052935.0,0.82,0.0,,,,1775059200000
2026-04-03,21.0,21.23,20.68,20.76,12746010,266339907.0,-0.53,-0.11,0.21,,,18.0088,2.029,0.7973,4.4024,177661428221.4,572671178.0,,,,,,,1775145600000
2026-04-07,20.91,20.92,20.55,20.71,9607708,198745742.0,-0.24,-0.05,0.15,,,17.9654,2.024,0.7954,4.3918,177233534608.15,571201714.0,,,,,,,1775491200000
2026-04-08,20.81,21.02,20.8,21.01,14779402,309089015.0,1.45,0.3,0.24,,,18.2256,2.054,0.8069,4.4554,179800896287.65,574328950.0,51052935.0,0.82,0.0,,,,1775577600000
2026-04-09,20.88,20.94,20.66,20.7,10573091,219620164.0,-1.48,-0.31,0.17,,,17.9567,2.023,0.795,4.3897,177147955885.5,577124452.0,27921471.0,0.44,-23131464.0,,,,1775664000000
2026-04-10,20.76,21.35,20.71,21.27,22983210,485459902.0,2.75,0.57,0.37,,,18.4512,2.079,0.8169,4.5106,182025943076.55,582030679.0,27921471.0,0.44,0.0,,,,1775750400000
2026-04-13,21.2,21.55,21.08,21.36,16761400,357999177.0,0.42,0.09,0.27,,,18.5292,2.088,0.8204,4.5297,182796151580.4,576812732.0,27921471.0,0.44,0.0,,,,1776009600000
2026-04-14,21.45,21.49,21.1,21.21,11826900,250923060.0,-0.7,-0.15,0.19,,,18.3991,2.073,0.8146,4.4978,181512470740.65,566013734.0,27921471.0,0.44,0.0,,,,1776096000000
2026-04-15,21.21,21.3,20.91,20.93,11586543,243266338.0,-1.32,-0.28,0.19,,,18.1562,2.046,0.8038,4.4385,179116266506.45,569103281.0,27921471.0,0.44,0.0,,,,1776182400000
