交易日期,开盘价,最高价,最低价,收盘价,成交量(手),成交额(元),涨跌幅(%),涨跌额,换手率(%),量比,市盈率(TTM),市净率,总市值(元),流通市值(元),涨速(%),5分钟涨跌幅(%),内盘(手),外盘(手),委买量(手),委卖量(手),委差(手),均价(元),昨收价,时间戳
2026-03-13,74.53,74.95,73.62,73.74,12647437,937615812.0,-1.95,-1.47,1.49,,,43.7458,4.774,10.183,80.3549,62651322207.18,4091840741.0,27907676.0,3.28,0.0,,,,1773331200000
2026-03-16,73.74,74.66,72.7,74.57,14241824,1049461264.0,1.13,0.83,1.68,,,44.2382,4.828,10.2976,81.2593,63356510672.49,4078614831.0,27907676.0,3.28,0.0,,,,1773590400000
2026-03-17,74.63,74.7,72.6,72.71,12438041,914982416.0,-2.49,-1.86,1.46,,,43.1348,4.707,10.0408,79.2325,61776208810.47,4047365959.0,27907676.0,3.28,0.0,,,,1773676800000
2026-03-18,73.2,74.78,72.6,74.6,14970293,1101458970.0,2.6,1.89,1.76,,,44.256,4.829,10.3018,81.292,63381999412.2,4107152637.0,27907676.0,3.28,0.0,,,,1773763200000
2026-03-19,73.23,73.37,72.06,72.5,13845863,1007753488.0,-2.82,-2.1,1.63,,,43.0102,4.694,10.0118,79.0036,61597787632.5,4105062460.0,27907676.0,3.28,0.0,,,,1773849600000
2026-03-20,72.51,73.0,70.3,70.36,14502320,1037908349.0,-2.95,-2.14,1.71,,,41.7406,4.555,9.7162,76.6717,59779590866.52,4062836810.0,27907676.0,3.28,0.0,,,,1773936000000
2026-03-23,69.0,69.0,66.41,66.48,18827290,1273826791.0,-5.51,-3.88,2.22,,,39.4389,4.304,9.1804,72.4436,56483047197.36,4022704659.0,27907676.0,3.28,0.0,,,,1774195200000
2026-03-24,67.5,67.6,66.0,67.4,11517091,769446675.0,1.38,0.92,1.36,,,39.9846,4.363,9.3075,73.4461,57264701881.8,4000437190.0,27907676.0,3.28,0.0,,,,1774281600000
2026-03-25,67.9,69.35,67.82,68.98,12357408,849611516.0,2.34,1.58,1.45,,,40.922,4.466,9.5257,75.1679,58607108839.86,3985295768.0,27907676.0,3.28,0.0,,,,1774368000000
2026-03-26,68.6,68.76,67.49,67.72,9169740,624177017.0,-1.83,-1.26,1.08,,,40.1745,4.384,9.3517,73.7948,57536581772.04,3974265195.0,27907676.0,3.28,0.0,,,,1774454400000
2026-03-27,66.73,68.54,66.63,67.89,8676752,587143710.0,0.25,0.17,1.02,,,40.2753,4.395,9.3752,73.9801,57681017963.73,3961226681.0,27907676.0,3.28,0.0,,,,1774540800000
2026-03-30,66.8,67.65,66.0,67.63,11458517,766011330.0,-0.38,-0.26,1.35,,,40.1211,4.378,9.3392,73.6968,57460115552.91,3957694719.0,27907676.0,3.28,0.0,,,,1774800000000
2026-03-31,67.4,68.18,65.9,66.04,12649762,846177154.0,-2.35,-1.59,1.49,,,39.178,4.219,9.1197,71.9644,56109452403.68,3941621544.0,27907676.0,3.28,0.0,,,,1774886400000
2026-04-01,67.3,67.67,66.93,67.4,10350853,696413059.0,2.06,1.36,1.22,,,39.9848,4.306,9.3075,73.4465,57264946880.8,3925326269.0,27907676.0,3.28,0.0,,,,1774972800000
2026-04-02,67.4,67.4,65.42,65.9,11357588,753353060.0,-2.23,-1.5,1.34,,,39.0949,4.266,9.1004,71.8119,55990504442.8,3900464323.0,27907676.0,3.28,0.0,,,,1775059200000
2026-04-03,66.22,66.38,64.8,64.92,8873197,579647697.0,-1.49,-0.98,1.04,,,38.5136,4.203,8.9651,70.744,55157868716.64,3861949758.0,,,,,,,1775145600000
2026-04-07,65.0,66.17,65.0,65.58,8340714,548462685.0,1.02,0.66,0.98,,,38.9051,4.246,9.0562,71.4632,55718623389.36,3849709512.0,,,,,,,1775491200000
2026-04-08,67.21,69.02,67.18,69.01,16849631,1147489534.0,5.23,3.43,1.98,,,40.9399,4.468,9.5299,75.2009,58632848430.92,3867720086.0,27907676.0,3.28,0.0,,,,1775577600000
2026-04-09,68.29,68.79,67.66,68.48,13250152,905049326.0,-0.77,-0.53,1.56,,,40.6255,4.433,9.4567,74.6233,58182545436.16,3857337465.0,25345332.0,2.98,-2562344.0,,,,1775664000000
2026-04-10,69.33,70.36,69.22,69.38,13598515,947944538.0,1.31,0.9,1.6,,,41.1594,4.492,9.581,75.6041,58947210898.96,3868903362.0,25345332.0,2.98,0.0,,,,1775750400000
2026-04-13,68.69,70.68,68.55,70.27,15127451,1059818528.0,1.28,0.89,1.78,,,41.6874,4.549,9.7039,76.5739,59703380078.84,3907631656.0,25345332.0,2.98,0.0,,,,1776009600000
2026-04-14,70.55,71.5,70.32,71.04,16167700,1147151889.0,1.1,0.77,1.9,,,42.1442,4.599,9.8102,77.413,60357593863.68,3882747303.0,25345332.0,2.98,0.0,,,,1776096000000
2026-04-15,71.4,71.57,70.08,70.18,14810653,1050238424.0,-1.21,-0.86,1.74,,,41.634,4.543,9.6914,76.4758,59626913532.56,3880027825.0,25345332.0,2.98,0.0,,,,1776182400000
2026-04-16,70.47,71.35,70.1,70.99,12478392,884546167.0,1.15,0.81,1.47,,,42.1146,4.391,9.8033,77.3585,60315113868.88,3876495107.0,25345332.0,2.98,0.0,,,,1776268800000
2026-04-17,70.9,73.71,70.61,72.89,21277009,1548504669.0,2.68,1.9,2.5,,,43.2417,4.508,10.0657,79.429,61929407661.68,3879790377.0,25345332.0,2.98,0.0,,,,1776355200000
2026-04-20,72.89,73.31,72.65,73.12,16922431,1234382790.0,0.32,0.23,1.99,,,43.2286,4.522,10.1085,81.048,62124822173.44,3878560294.0,25345332.0,2.98,0.0,,,,1776614400000
2026-04-21,72.0,72.0,69.86,70.27,24995543,1760623393.0,-3.9,-2.85,2.94,,,41.5436,4.403,9.7145,77.889,59703381484.24,3894992864.0,25345332.0,2.98,0.0,,,,1776700800000
2026-04-22,69.89,72.64,69.81,72.43,24573291,1761253521.0,3.07,2.16,2.89,,,42.8206,4.538,10.0131,80.2832,61538578638.16,3915814702.0,25345332.0,2.98,0.0,,,,1776787200000
2026-04-23,73.0,73.4,71.08,71.36,19525702,1408738234.0,-1.48,-1.07,2.3,,,42.188,4.471,9.8652,79.0972,60629476344.32,3907766613.0,25345332.0,2.98,0.0,,,,1776873600000
2026-04-24,71.0,72.35,70.86,71.1,15449481,1104142043.0,-0.36,-0.26,1.82,,,42.0343,4.455,9.8292,78.809,60408572983.2,,,,,,,,1776960000000
