code,name,full_code
000001,平安银行,SZ000001
000002,万科A,SZ000002
000063,中兴通讯,SZ000063
000100,TCL科技,SZ000100
000157,中联重科,SZ000157
000166,申万宏源,SZ000166
000333,美的集团,SZ000333
000338,潍柴动力,SZ000338
000422,湖北宜化,SZ000422
000425,徐工机械,SZ000425
000538,云南白药,SZ000538
000568,泸州老窖,SZ000568
000596,古井贡酒,SZ000596
000625,长安汽车,SZ000625
000630,铜陵有色,SZ000630
000651,格力电器,SZ000651
000661,长春高新,SZ000661
000708,中信特钢,SZ000708
000725,京东方A,SZ000725
000776,广发证券,SZ000776
000786,北新建材,SZ000786
000792,盐湖股份,SZ000792
000858,五粮液,SZ000858
000876,新希望,SZ000876
000895,双汇发展,SZ000895
000938,紫光股份,SZ000938
000963,华东医药,SZ000963
000975,山金国际,SZ000975
000977,浪潮信息,SZ000977
000983,山西焦煤,SZ000983
000999,华润三九,SZ000999
001965,招商公路,SZ001965
001979,招商蛇口,SZ001979
002001,新和成,SZ002001
002008,大族激光,SZ002008
002027,分众传媒,SZ002027
002028,思源电气,SZ002028
002049,紫光国微,SZ002049
002050,三花智控,SZ002050
002074,国轩高科,SZ002074
002129,中环股份,SZ002129
002142,宁波银行,SZ002142
002179,中航光电,SZ002179
002230,科大讯飞,SZ002230
002236,大华股份,SZ002236
002241,歌尔股份,SZ002241
002252,上海莱士,SZ002252
002271,东方雨虹,SZ002271
002304,洋河股份,SZ002304
002311,海大集团,SZ002311
002352,顺丰控股,SZ002352
002371,北方华创,SZ002371
002384,东山精密,SZ002384
002415,海康威视,SZ002415
002422,科伦药业,SZ002422
002459,晶澳科技,SZ002459
002460,赣锋锂业,SZ002460
002463,沪电股份,SZ002463
002466,天齐锂业,SZ002466
002475,立讯精密,SZ002475
002493,荣盛石化,SZ002493
002555,三七互娱,SZ002555
002594,比亚迪,SZ002594
002600,领益智造,SZ002600
002601,龙佰集团,SZ002601
002648,卫星化学,SZ002648
002709,天赐材料,SZ002709
002714,牧原股份,SZ002714
002736,国信证券,SZ002736
002812,恩捷股份,SZ002812
002916,深南电路,SZ002916
002920,德赛西威,SZ002920
002938,鹏鼎控股,SZ002938
003816,中国广核,SZ003816
300014,亿纬锂能,SZ300014
300015,爱尔眼科,SZ300015
300033,同花顺,SZ300033
300059,东方财富,SZ300059
300122,智飞生物,SZ300122
300124,汇川技术,SZ300124
300274,阳光电源,SZ300274
300308,中际旭创,SZ300308
300316,晶盛机电,SZ300316
300347,泰格医药,SZ300347
300394,天孚通信,SZ300394
300408,三环集团,SZ300408
300413,芒果超媒,SZ300413
300433,蓝思科技,SZ300433
300498,温氏股份,SZ300498
300502,新易盛,SZ300502
300750,宁德时代,SZ300750
300759,康龙化成,SZ300759
300760,迈瑞医疗,SZ300760
300782,卓胜微,SZ300782
300896,爱美客,SZ300896
300979,华利集团,SZ300979
300999,金龙鱼,SZ300999
600000,浦发银行,SH600000
600009,上海机场,SH600009
600010,包钢股份,SH600010
600015,华夏银行,SH600015
600016,民生银行,SH600016
600018,上港集团,SH600018
600019,宝钢股份,SH600019
600023,浙能电力,SH600023
600025,华能水电,SH600025
600026,中远海能,SH600026
600028,中国石化,SH600028
600029,南方航空,SH600029
600030,中信证券,SH600030
600031,三一重工,SH600031
600036,招商银行,SH600036
600039,四川路桥,SH600039
600048,保利发展,SH600048
600050,中国联通,SH600050
600061,国投资本,SH600061
600066,宇通客车,SH600066
600085,同仁堂,SH600085
600089,特变电工,SH600089
600104,上汽集团,SH600104
600111,北方稀土,SH600111
